family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,name
Acanthaceae,Mendoncia,trichota,Leonard,tax. nov.,spec.,FALSE,Contr. U.S. Natl. Herb. 31: 674. 1958 ,Contr. U.S. Natl. Herb.,1958,31: 674,605-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,157206-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/398637&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,Mendoncia_trichota
Acanthaceae,Morsacanthus,nemoralis,Rizzini,tax. nov.,spec.,FALSE,Revista Brasil. Biol. 12: 261. 1952 ,Revista Brasil. Biol.,1952,12: 261,3736-2,FALSE,NA,NA,NA,NA,"Paraná (Brazil, Southern America)",NA,164453-2,TRUE,NA,NA,NA,NA,Morsacanthus_nemoralis
Acanthaceae,Neowedia,speciosa,Schrad.,tax. nov.,spec.,FALSE,Gött. Gel. Anz. 1821(2): 706. [5 May 1821] ,Gött. Gel. Anz.,1821,1821(2): 706,8865-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,60468276-2,TRUE,NA,5 May 1821,NA,NA,Neowedia_speciosa
Acanthaceae,Odontonema,latifolium,Rizzini,tax. nov.,spec.,FALSE,Arch. Jard. Bot. Rio de Janeiro 9: 59. 1950 ,Arch. Jard. Bot. Rio de Janeiro,1950,9: 59,848-2,FALSE,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,172460-2,TRUE,NA,NA,NA,NA,Odontonema_latifolium
Acanthaceae,Odontonema,scandens,Lindau,tax. nov.,spec.,FALSE,Notizbl. Königl. Bot. Gart. Berlin 6: 198. 1914 ,Notizbl. Königl. Bot. Gart. Berlin,1914,6: 198,3558-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,172478-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=198&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,Odontonema_scandens
Acanthaceae,Polylychnis,ovata,Wassh.,tax. nov.,spec.,FALSE,"Fl. Guianas, ser. A, Phanerogams 23(156): 103 (-105; fig. 26). 2006 ","Fl. Guianas, ser. A, Phanerogams",2006,23(156): 103 (-105; fig. 26),3319-2,FALSE,holotype P;isotype U;isotype US,de Granville,B. 4522,1 Sep 1972,"Amapá (Brazil North, Brazil, Southern America);Suriname (Northern South America, Southern America);","Tumac Humac, 3 km N-NW of Mitaraka Nord, ca. 430 m elev.",77073658-1,TRUE,NA,NA,NA,NA,Polylychnis_ovata
Acanthaceae,Pseuderanthemum,australe,M.C.Rodrigues & V.C.Souza,tax. nov.,spec.,FALSE,Kew Bull. 75(3)-42: 2. 2020 [20 Nov 2020] [epublished],Kew Bull.,2020,75(3)-42: 2,987-2,FALSE,holotype ESA 32143;isotype MBM;isotype US,J.Cordeiro,1209,19 Apr 1995,"Paraná (Brazil South, Brazil, Southern America);Santa Catarina (Brazil South, Brazil, Southern America);","Paraná: Adrianópolis, Barra Grande – Mata do Vale do Ribeira",77211706-1,FALSE,NA,20 Nov 2020,doi:10.1007/S12225-020-09900-9,[epublished],Pseuderanthemum_australe
Acanthaceae,Pseuderanthemum,jundiaiense,M.C.Rodrigues & V.C.Souza,tax. nov.,spec.,FALSE,Kew Bull. 75(3)-42: 2. 2020 [20 Nov 2020] [epublished],Kew Bull.,2020,75(3)-42: 2,987-2,FALSE,holotype SP 275782,M.A.G.Magenta et al.,24,18 Apr 1995,"São Paulo (Brazil Southeast, Brazil, Southern America)","Jundiaí, Serra do Japí",77211707-1,FALSE,NA,20 Nov 2020,doi:10.1007/S12225-020-09900-9,[epublished],Pseuderanthemum_jundiaiense
Acanthaceae,Ruellia,bracteiflora,Glaz.,tax. nov.,spec.,FALSE,Bull. Soc. Bot. France 58(Mém. 3f): 532. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 532,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,224053-2,FALSE,NA,NA,NA,NA,Ruellia_bracteiflora
Acanthaceae,Ruellia,brasiliensis,Spreng.,tax. nov.,spec.,FALSE,"Syst. Veg., ed. 16 [Sprengel] 2: 822. 1825 [Jan-May 1825] ","Syst. Veg., ed. 16 [Sprengel]",1825,2: 822,14620-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,224054-2,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1825&rft.spage=822&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/822&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Jan-May 1825,NA,NA,Ruellia_brasiliensis
Acanthaceae,Ruellia,conferta,Lindau,tax. nov.,spec.,FALSE,Notizbl. Königl. Bot. Gart. Berlin 6: 194. 1914 ,Notizbl. Königl. Bot. Gart. Berlin,1914,6: 194,3558-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,224091-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=194&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,Ruellia_conferta
Acanthaceae,Ruellia,glanduloso-notata,Lindau,tax. nov.,spec.,FALSE,"Bull. Herb. Boissier ser. 2, 5: 367. 1905 ",Bull. Herb. Boissier,1905,"ser. 2, 5: 367",573-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,224131-2,FALSE,NA,NA,NA,NA,Ruellia_glanduloso-notata
Acanthaceae,Ruellia,lindaviana,Taub.,tax. nov.,spec.,FALSE,Bot. Jahrb. Syst. 21(4): 452. 1895 [1895] ;  a preprint,Bot. Jahrb. Syst.,1895,21(4): 452,553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,224177-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.issue=4&rft.spage=452&rft.volume=21&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1895,NA,a preprint,Ruellia_lindaviana
Acanthaceae,Ruellia,lofgrenii,Lindau,tax. nov.,spec.,FALSE,Bull. Herb. Boissier 5: 654. 1897 ,Bull. Herb. Boissier,1897,5: 654,573-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,224178-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1897&rft.spage=654&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,Ruellia_lofgrenii
Acanthaceae,Ruellia,mattogrossensis,Lindau,tax. nov.,spec.,FALSE,Bull. Herb. Boissier 3: 362. 1895 ,Bull. Herb. Boissier,1895,3: 362,573-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,224196-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.spage=362&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,Ruellia_mattogrossensis
