name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Sida longepilosa,Malvaceae,Sida,longepilosa,Gand.,tax_nov,spec.,Bull. Soc. Bot. France 71(5-6): 630. 1924 [18 Sep 1924] ,Bull. Soc. Bot. France,1924,71(5-6): 630,578-2,NA,Dusén,s.n.,NA,Brazil (Southern America),Rio de J.,77101622-1,18 Sep 1924,NA,www.ipni.org/n/77101622-1,IPNI
Sida luetzelburgii,Malvaceae,Sida,luetzelburgii,Ulbr.,tax_nov,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 9: 41. 1924 ,Notizbl. Bot. Gart. Berlin-Dahlem,1924,9: 41,1019-2,NA,NA,NA,NA,Brazil (Southern America),NA,235727-2,NA,NA,www.ipni.org/n/235727-2,IPNI
Sida martiusiana,Malvaceae,Sida,martiusiana,Gand.,tax_nov,spec.,Bull. Soc. Bot. France 71(5-6): 632. 1924 [18 Sep 1924] ,Bull. Soc. Bot. France,1924,71(5-6): 632,578-2,NA,Novaes,s.n.,NA,Brazil (Southern America),S.Paulo,77101661-1,18 Sep 1924,NA,www.ipni.org/n/77101661-1,IPNI
Sida paeoniiflora,Malvaceae,Sida,paeoniiflora,Hook.,tax_nov,spec.,Bot. Mag. 71: t. 4170. 1845 [1 Jul 1845] ,Bot. Mag.,1845,71: t. 4170,864-2,NA,NA,NA,NA,Brazil (Southern America),NA,323557-2,1 Jul 1845,As S. paeoniaeflora,www.ipni.org/n/323557-2,IPNI
Sida piauhyensis,Malvaceae,Sida,piauhyensis,Ulbr.,tax_nov,spec.,Bot. Jahrb. Syst. 42(2-3): 226. 1908 [29 Dec 1908] ,Bot. Jahrb. Syst.,1908,42(2-3): 226,553-2,NA,NA,NA,NA,Brazil (Southern America),NA,235774-2,29 Dec 1908,NA,www.ipni.org/n/235774-2,IPNI
Sida selloi,Malvaceae,Sida,selloi,Gand.,tax_nov,spec.,Bull. Soc. Bot. France 71(5-6): 633. 1924 [18 Sep 1924] ,Bull. Soc. Bot. France,1924,71(5-6): 633,578-2,NA,Sello,s.n.,NA,Brazil (Southern America),Brasilia,77101685-1,18 Sep 1924,NA,www.ipni.org/n/77101685-1,IPNI
Sida sellowiana,Malvaceae,Sida,sellowiana,Klotzsch,tax_nov,spec.,Allg. Gartenzeitung (Otto & Dietrich) 4: 9. 1836 ,Allg. Gartenzeitung (Otto & Dietrich),1836,4: 9,1411-2,NA,NA,NA,NA,Brazil (Southern America),NA,235833-2,NA,NA,www.ipni.org/n/235833-2,IPNI
Sida speciosa,Malvaceae,Sida,speciosa,Willd. ex Spreng.,tax_nov,spec.,"Syst. Veg., ed. 16 [Sprengel] 3: 119. 1826 [Jan-Mar 1826] ","Syst. Veg., ed. 16 [Sprengel]",1826,3: 119,14620-2,NA,NA,NA,NA,Brazil (Southern America),NA,323598-2,Jan-Mar 1826,NA,www.ipni.org/n/323598-2,IPNI
Sida stolonifera,Malvaceae,Sida,stolonifera,Salzm. ex Turcz.,tax_nov,spec.,Bull. Soc. Imp. Naturalistes Moscou 31: 199. 1858 ,Bull. Soc. Imp. Naturalistes Moscou,1858,31: 199,880-2,NA,NA,NA,NA,"Bahia (Brazil, Southern America)",NA,313680-2,NA,"[Gandhi; Fuertes, Fl. Colombia (1983+) 17: 27. 1995]",www.ipni.org/n/313680-2,IPNI
Sida urosepala,Malvaceae,Sida,urosepala,R.E.Fr.,tax_nov,spec.,"Kungl. Svenska Vetenskapsakad. Handl. 24(2): 13, t. 1, f. 7, 8 & t. 4, f. 1. 1947 ",Kungl. Svenska Vetenskapsakad. Handl.,1947,"24(2): 13, t. 1, f. 7, 8 & t. 4, f. 1",20010248-1,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,235872-2,NA,NA,www.ipni.org/n/235872-2,IPNI
Sida urticifolia,Malvaceae,Sida,urticifolia,A.St.-Hil.,tax_nov,spec.,Fl. Bras. Merid. (A. St.-Hil.). 1: 189. 1829 ,Fl. Bras. Merid. (A. St.-Hil.).,1829,1: 189,8262-2,NA,NA,NA,NA,Brazil (Southern America),NA,296021-2,NA,NA,www.ipni.org/n/296021-2,IPNI
Sida viscidula,Malvaceae,Sida,viscidula,Klotzsch,tax_nov,spec.,Linnaea 14(3): 301. 1840 [Oct-early Nov 1840] ,Linnaea,1840,14(3): 301,703-2,lectotype BR;isolectotype P,[Luschnath],10,Jul 1835,"Bahia (Brazil Northeast, Brazil, Southern America)","Campos, Crus de Casma",564366-1,Oct-early Nov 1840,NA,www.ipni.org/n/564366-1,IPNI
Urena pedersenii,Malvaceae,Urena,pedersenii,Krapov.,tax_nov,spec.,Bonplandia (Corrientes) 21(2): 193. 2012 [Dec 2012] ,Bonplandia (Corrientes),2012,21(2): 193,13502-2,holotype SPF;isotype CTES,"J.Paula-Souza, M.S.Ferrucci &amp; J.G.Rando",8773,3 Oct 2007,"Goiás (Brazil West-Central, Brazil, Southern America)","Mun. Cristalina. Estrada para Unaí, ca. 600 m da BR 040, 1230 m",77147474-1,Dec 2012,Named for Dr. Troels Myndel Pedersen.,www.ipni.org/n/77147474-1,IPNI
Ayenia implicabilis,Malvaceae,Ayenia,implicabilis,(Cristóbal) Christenh. & Byng,NA,Species,Global Fl. 4: 136 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77183613-1,NA,NA,https://powo.science.kew.org/taxon/77183613-1,POWO
Ayenia melastomifolia,Malvaceae,Ayenia,melastomifolia,(A.St.-Hil.) Christenh. & Byng,NA,Species,Global Fl. 4: 137 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77183865-1,NA,NA,https://powo.science.kew.org/taxon/77183865-1,POWO
Helicteres urupaensis,Malvaceae,Helicteres,urupaensis,Leane,NA,Species,"Bol. Mus. Nac. Rio de Janeiro, Bot. 55: 1 (1979)",NA,1979,NA,NA,NA,NA,NA,NA,NA,NA,119574-2,NA,NA,https://powo.science.kew.org/taxon/119574-2,POWO
Abutilon benedictum,Malvaceae,Abutilon,benedictum,Bunbury,NA,Species,Proc. Linn. Soc. London 1: 109 (1841),NA,1841,NA,NA,NA,NA,NA,NA,NA,NA,558118-1,NA,NA,https://powo.science.kew.org/taxon/558118-1,POWO
