name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Habenaria abscondita,Orchidaceae,Habenaria,abscondita,J.A.N.Bat. & Cruz-Lustre,tax_nov,spec.,Syst. Biodivers. 20(1)-2030424: 13. 2022 [16 Mar 2022] [epublished],Syst. Biodivers.,2022,20(1)-2030424: 13,20000157-1,holotype BHCB 201999;isotype ALCB;isotype CEN;isotype HUEFS;isotype MBM;isotype RB;isotype SP,G.Cruz-Lustre &amp; J.A.N.Batista,206,31 Jul 2016,"Bahia (Brazil Northeast, Brazil, Southern America)","Palmeiras, Parque Nacional da Chapada Diamantina, trilha entre a Vila do Capao e a Cachoeira da Fumaca, 1330 m",77315204-1,16 Mar 2022,"doi:10.1080/14772000.2022.2030424 Etymology: 'From the Latin absconditus (hidden,concealed), referring to the new species being previously misidentified and thus overlooked by taxonomists'.",www.ipni.org/n/77315204-1,IPNI
Habenaria alberti,Orchidaceae,Habenaria,alberti,Hoehne,tax_nov,spec.,"Bot. Jahrb. Syst. 68(2-3): 131, pl. 16. 1937 [14 Apr 1937] ",Bot. Jahrb. Syst.,1937,"68(2-3): 131, pl. 16",553-2,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,116263-2,14 Apr 1937,NA,www.ipni.org/n/116263-2,IPNI
Habenaria bryophila,Orchidaceae,Habenaria,bryophila,"J.A.N.Bat., B.L.Lau & Machado-Costa",tax_nov,spec.,Syst. Bot. 47(1): 217. 2022 [21 Mar 2022] [epublished],Syst. Bot.,2022,47(1): 217,1295-2,holotype BHCB 79808;isotype CEN 99175,R.C.Mota &amp; P.L Viana,1701,10 Feb 2003,"Bahia (Brazil Northeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);","Minas Gerais: Conceição do Mato Dentro, Parque Natural Municipal do Ribeirão do Campo [Parque Estadual da Serra do Intendente]",77301605-1,21 Mar 2022,"doi:10.1600/036364422X16442668423536 Etymology: 'From the Greek bryo (moss) and philus (loving), referring to the species' association with mossy habitats'.",www.ipni.org/n/77301605-1,IPNI
Habenaria christiani,Orchidaceae,Habenaria,christiani,Schltr.,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 17: 267. 1921 ,Repert. Spec. Nov. Regni Veg.,1921,17: 267,788-2,NA,NA,NA,NA,Brazil (Southern America),NA,116322-2,NA,NA,www.ipni.org/n/116322-2,IPNI
Habenaria compluviosa,Orchidaceae,Habenaria,compluviosa,"J.A.N.Bat., B.L.Lau & Machado-Costa",tax_nov,spec.,Syst. Bot. 47(1): 227. 2022 [21 Mar 2022] [epublished],Syst. Bot.,2022,47(1): 227,1295-2,holotype BHCB 119629;isotype CEN;isotype MBM;isotype RB;isotype SP,"J.A.N.Batista, R.C.da Mota, M.W.F.de Faria &amp; H.R.El Bizri",1951,16 Feb 2007,"Minas Gerais (Brazil Southeast, Brazil, Southern America)","Serro, Milho Verde, Lageado, 1078 m",77301610-1,21 Mar 2022,"doi:10.1600/036364422X16442668423536 Etymology: 'From the Latin prefix co (with, together with) and pluvia (relating to rain), referring to its blooming during the rainy season'.",www.ipni.org/n/77301610-1,IPNI
Acianthera adirii,Orchidaceae,Acianthera,adirii,(Brade) Pridgeon & M.W.Chase,NA,Species,Lindleyana 16: 241 (2001),NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,1150292-2,NA,NA,https://powo.science.kew.org/taxon/1150292-2,POWO
Anathallis microtis,Orchidaceae,Anathallis,microtis,(Schltr.) Karremans,NA,Species,Phytotaxa 272: 27 (2016),NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,77157378-1,NA,NA,https://powo.science.kew.org/taxon/77157378-1,POWO
Cyclopogon garayanus,Orchidaceae,Cyclopogon,garayanus,(Szlach.) J.M.H.Shaw,NA,Species,"Orchid Rev. 122(1306, Suppl.): 37 (2014)",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,77139716-1,NA,NA,https://powo.science.kew.org/taxon/77139716-1,POWO
Cyclopogon pabstii,Orchidaceae,Cyclopogon,pabstii,U.B.Deshmukh & J.M.H.Shaw,NA,Species,"Orchid Rev. 130(1338, Suppl.): 20 (2022)",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,77320383-1,NA,NA,https://powo.science.kew.org/taxon/77320383-1,POWO
Eltroplectris paranaensis,Orchidaceae,Eltroplectris,paranaensis,Engels & E.C.Smidt,NA,Species,Phytotaxa 609: 117 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77325749-1,NA,NA,https://powo.science.kew.org/taxon/77325749-1,POWO
