name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Calibrachoa rupestris,Solanaceae,Calibrachoa,rupestris,(Dusén) Wijsman,NA,Species,Acta Bot. Neerl. 39: 102 (1990),NA,1990,NA,NA,NA,NA,NA,NA,NA,NA,947650-1,NA,NA,https://powo.science.kew.org/taxon/947650-1,POWO
Cestrum ovale,Solanaceae,Cestrum,ovale,(Sendtn.) Francey,NA,Species,Candollea 6: 197 (1935),NA,1935,NA,NA,NA,NA,NA,NA,NA,NA,53684-2,NA,NA,https://powo.science.kew.org/taxon/53684-2,POWO
Calibrachoa regnellii,Solanaceae,Calibrachoa,regnellii,(R.E.Fr.) Wijsman,NA,Species,Acta Bot. Neerl. 39: 102 (1990),NA,1990,NA,NA,NA,NA,NA,NA,NA,NA,947649-1,NA,NA,https://powo.science.kew.org/taxon/947649-1,POWO
Capsicum leptopodum,Solanaceae,Capsicum,leptopodum,(Dunal) Kuntze,NA,Species,Revis. Gen. Pl. 2: 450 (1891),NA,1891,NA,NA,NA,NA,NA,NA,NA,NA,993725-1,NA,NA,https://powo.science.kew.org/taxon/993725-1,POWO
Cestrum toledii,Solanaceae,Cestrum,toledii,Carvalho & A.Schnoor,NA,Species,Rodriguésia 45-49: 17 (1993-1997 publ. 1998),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1012878-1,NA,NA,https://powo.science.kew.org/taxon/1012878-1,POWO
Dyssochroma atlantica,Solanaceae,Dyssochroma,atlantica,(Stehmann & Giacomin) A.Orejuela & C.I.Orozco,NA,Species,Taxon 66: 389 (2017),NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,77164741-1,NA,NA,https://powo.science.kew.org/taxon/77164741-1,POWO
Solanum echidniforme,Solanaceae,Solanum,echidniforme,Dunal,NA,Species,"A.P.de Candolle, Prodr. 13(1): 324 (1852)",NA,1852,NA,NA,NA,NA,NA,NA,NA,NA,819081-1,NA,NA,https://powo.science.kew.org/taxon/819081-1,POWO
Solanum schuchii,Solanaceae,Solanum,schuchii,Sendtn.,NA,Species,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 10: 101 (1846)",NA,1846,NA,NA,NA,NA,NA,NA,NA,NA,820952-1,NA,NA,https://powo.science.kew.org/taxon/820952-1,POWO
Athenaea wettsteiniana,Solanaceae,Athenaea,wettsteiniana,(Witasek) I.M.C.Rodrigues & Stehmann,NA,Species,Taxon 68: 845 (2019),NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,77204757-1,NA,NA,https://powo.science.kew.org/taxon/77204757-1,POWO
Solanum crotonifolium,Solanaceae,Solanum,crotonifolium,Humb. & Bonpl. ex Dunal,NA,Species,Solan. Syn.: 18 (1816),NA,1816,NA,NA,NA,NA,NA,NA,NA,NA,818851-1,NA,NA,https://powo.science.kew.org/taxon/818851-1,POWO
Brugmansia insignis,Solanaceae,Brugmansia,insignis,(Barb.Rodr.) Lockwood ex R.E.Schult.,NA,Species,Bot. Mus. Leafl. 25(4): 124 (1977),NA,1977,NA,NA,NA,NA,NA,NA,NA,NA,814604-1,NA,NA,https://powo.science.kew.org/taxon/814604-1,POWO
Solanum kioniotrichum,Solanaceae,Solanum,kioniotrichum,Bitter ex J.F.Macbr.,NA,Species,"Publ. Field Mus. Nat. Hist., Bot. Ser. 13(5B): 254 (1962)",NA,1962,NA,NA,NA,NA,NA,NA,NA,NA,819696-1,NA,NA,https://powo.science.kew.org/taxon/819696-1,POWO
Solanum schomburgkii,Solanaceae,Solanum,schomburgkii,Sendtn.,NA,Species,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 10: 55 (1846)",NA,1846,NA,NA,NA,NA,NA,NA,NA,NA,820947-1,NA,NA,https://powo.science.kew.org/taxon/820947-1,POWO
Calibrachoa pygmea,Solanaceae,Calibrachoa,pygmea,(R.E.Fr.) Wijsman,NA,Species,Acta Bot. Neerl. 39: 102 (1990),NA,1990,NA,NA,NA,NA,NA,NA,NA,NA,947648-1,NA,NA,https://powo.science.kew.org/taxon/947648-1,POWO
Solanum buddlejifolium,Solanaceae,Solanum,buddlejifolium,Sendtn.,NA,Species,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 10: 83 (1846)",NA,1846,NA,NA,NA,NA,NA,NA,NA,NA,818522-1,NA,NA,https://powo.science.kew.org/taxon/818522-1,POWO
Calibrachoa calycina,Solanaceae,Calibrachoa,calycina,(Sendtn.) Wijsman,NA,Species,Acta Bot. Neerl. 39: 101 (1990),NA,1990,NA,NA,NA,NA,NA,NA,NA,NA,947638-1,NA,NA,https://powo.science.kew.org/taxon/947638-1,POWO
Lycium boerhaviifolium,Solanaceae,Lycium,boerhaviifolium,L.f.,NA,Species,Suppl. Pl.: 150 (1782),NA,1782,NA,NA,NA,NA,NA,NA,NA,NA,816365-1,NA,NA,https://powo.science.kew.org/taxon/816365-1,POWO
Solanum hazenii,Solanaceae,Solanum,hazenii,Britton,NA,Species,Bull. Torrey Bot. Club 48: 338 (1922),NA,1922,NA,NA,NA,NA,NA,NA,NA,NA,238944-2,NA,NA,https://powo.science.kew.org/taxon/238944-2,POWO
Solanum dulcamara,Solanaceae,Solanum,dulcamara,L.,NA,Species,Sp. Pl.: 185 (1753),NA,1753,NA,NA,NA,NA,NA,NA,NA,NA,285213-2,NA,NA,https://powo.science.kew.org/taxon/285213-2,POWO
