name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Jacquemontia ferricola,Convolvulaceae,Jacquemontia,ferricola,"Belo, Buril & Louzada",tax_nov,spec.,Acta Amazonica 53(4): 304. 2023 [4 Dec 2023] [epublished],Acta Amazonica,2023,53(4): 304,1144-2,holotype UFP 90248;isotype IAN 202800,E.Barbier &amp; D.Belo,6,2 Jul 2022,"Pará (Brazil North, Brazil, Southern America)","Parauapebas, Serra dos Carajás, Floresta Nacional de Carajás, Serra Norte, 280 m",77335185-1,4 Dec 2023,"doi:10.1590/1809-4392202300341 Etymology: 'The specific epithet refers to the soil of the canga vegetation of the type locality, which is iron'.",www.ipni.org/n/77335185-1,IPNI
Jacquemontia mattogrossensis,Convolvulaceae,Jacquemontia,mattogrossensis,Hoehne,tax_nov,spec.,"Anexos Mem. Inst. Butantan, Secc. Bot. 1, Fasc. 6: 54, pl. 9. 1922 ","Anexos Mem. Inst. Butantan, Secc. Bot.",1922,"1, Fasc. 6: 54, pl. 9",3497-2,NA,NA,NA,NA,Brazil (Southern America),NA,131131-2,NA,NA,www.ipni.org/n/131131-2,IPNI
Keraunea bullata,Convolvulaceae,Keraunea,bullata,Moonlight & D.B.O.S.Cardoso,tax_nov,spec.,PhytoKeys 219: 159. 2023 [20 Feb 2023] [epublished],PhytoKeys,2023,219: 159,20011997-1,holotype ALCB ALCB075866,"M.L.Guedes, D.M.Loureiro &amp; D.L.Santana",9176,NA,"Bahia (Brazil Northeast, Brazil, Southern America)","Mun. Jequié, Bairro Suíça",77314429-1,20 Feb 2023,doi:10.3897/phytokeys.219.101779,www.ipni.org/n/77314429-1,IPNI
Keraunea confusa,Convolvulaceae,Keraunea,confusa,Moonlight & D.B.O.S.Cardoso,tax_nov,spec.,PhytoKeys 219: 163. 2023 [20 Feb 2023] [epublished],PhytoKeys,2023,219: 163,20011997-1,holotype BHCB BHCB017209;isotype HRCB;isotype K K001395055;isotype UEC UEC117783,J.A.Lombardi &amp; A.Salino,1819,25 May 1997,"Bahia (Brazil Northeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);","Bahia: Mun. Januária, distrito de Fabião, junto ao Abrigo do Malhador",77314430-1,20 Feb 2023,doi:10.3897/phytokeys.219.101779 Etymology: 'the epithet refers to the confusion that has surrounded the taxonomic history of this species'.,www.ipni.org/n/77314430-1,IPNI
Keraunea velutina,Convolvulaceae,Keraunea,velutina,Moonlight & D.B.O.S.Cardoso,tax_nov,spec.,PhytoKeys 219: 165. 2023 [20 Feb 2023] [epublished],PhytoKeys,2023,219: 165,20011997-1,holotype RB 00852871,J.G.Costa,257,10 Sep 2013,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)","Mun. Cardoso Moreira, Santíssimo, Fazenda Borges",77314431-1,20 Feb 2023,doi:10.3897/phytokeys.219.101779,www.ipni.org/n/77314431-1,IPNI
Maripa spectabilis,Convolvulaceae,Maripa,spectabilis,Choisy,tax_nov,spec.,Prodr. [A. P. de Candolle] 9: 327. 1845 [1 Jan 1845] ,Prodr. [A. P. de Candolle],1845,9: 327,1051-2,lectotype M,C.F.P.Martius,s.n.,NA,Brazil (Southern America),NA,153261-2,1 Jan 1845,NA,www.ipni.org/n/153261-2,IPNI
Merremia heringeri,Convolvulaceae,Merremia,heringeri,K.Afzel.,tax_nov,spec.,Svensk Bot. Tidskr. 60: 487. 1966 ,Svensk Bot. Tidskr.,1966,60: 487,2967-2,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,157714-2,NA,NA,www.ipni.org/n/157714-2,IPNI
Prevostea capitata,Convolvulaceae,Prevostea,capitata,Dammer,tax_nov,spec.,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 36. 1897 [27 Aug 1897] ",Bot. Jahrb. Syst.,1897,"23(5, Beibl. 57): 36",553-2,NA,NA,NA,NA,Brazil (Southern America),NA,210159-2,27 Aug 1897,NA,www.ipni.org/n/210159-2,IPNI
Volvulus orbinaxa,Convolvulaceae,Volvulus,orbinaxa,Morley,tax_nov,spec.,Fl. Neotrop. Monogr. 15: 264. 1976 Flora Neotrop. Monogr. 15,Fl. Neotrop. Monogr.,1976,15: 264,944-2,holotype MIN,Silva,602,NA,Brazil (Southern America),NA,266424-2,NA,NA,www.ipni.org/n/266424-2,IPNI
Ipomoea homotrichoidea,Convolvulaceae,Ipomoea,homotrichoidea,O'Donell,NA,Species,Lilloa 14: 173 (1948),NA,1948,NA,NA,NA,NA,NA,NA,NA,NA,129395-2,NA,NA,https://powo.science.kew.org/taxon/129395-2,POWO
