name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Eremitis clarkiae,Poaceae,Eremitis,clarkiae,F.M.Ferreira & R.P.Oliveira,tax_nov,spec.,Pl. Ecol. Evol. 154(3): 471. 2021 [23 Nov 2021] [epublished],Pl. Ecol. Evol.,2021,154(3): 471,20011731-1,holotype HUEFS;isotype BHCB;isotype CEN;isotype CEPEC;isotype CVRD;isotype HUFU;isotype ICN;isotype ISC;isotype K;isotype MBM;isotype MO;isotype NY;isotype P;isotype R;isotype RB;isotype SP;isotype US,F.M.Ferreira &amp; A.L.C.Lima,2213,13 Nov 2009,"Bahia (Brazil Northeast, Brazil, Southern America)","Municipality  of  Floresta  Azul,  Florestinha,  Venturosa  Farm  (part  of  the  complex Senhor do Bom Fim Farm), about 9.3 km from Floresta Azul to Almadina",77234324-1,23 Nov 2021,"doi:10.5091/plecevo.154.3 The specific epithet is a tribute to Dr Lynn G. Clark, from Iowa State University (USA).",www.ipni.org/n/77234324-1,IPNI
Eremitis fluminensis,Poaceae,Eremitis,fluminensis,F.M.Ferreira & R.P.Oliveira,tax_nov,spec.,Novon 28(4): 245. 2020 [12 Nov 2020] [epublished],Novon,2020,28(4): 245,14256-2,holotype HUEFS;isotype BHCB;isotype CEN;isotype CEPEC;isotype CVRD;isotype ESA;isotype HUFU;isotype ICN;isotype ISC;isotype K;isotype MBM;isotype MO;isotype P;isotype R;isotype RB;isotype SP;isotype SPF;isotype US,F.M.Ferreira &amp; C.Silva,2224,17 Jun 2010,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)","Mangaratiba, Marambaia Island, trail to Praia do Sino",77213763-1,12 Nov 2020,doi:10.3417/2020562,www.ipni.org/n/77213763-1,IPNI
Eremitis grandiflora,Poaceae,Eremitis,grandiflora,F.M.Ferreira & R.P.Oliveira,tax_nov,spec.,Syst. Bot. 46(2): 322. 2021 [11 Aug 2021] ,Syst. Bot.,2021,46(2): 322,1295-2,holotype HUEFS;isotype BHCB;isotype CEN;isotype CEPEC;isotype CVRD;isotype HUFU;isotype ICN;isotype ISC;isotype K;isotype MBM;isotype MO;isotype P;isotype R;isotype RB;isotype SP;isotype US,"F.M. Ferreira, A.L. Cortes, D. Couto &amp; A.F.P. Machado",2173,29 Sep 2009,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Linhares, Forest Reserve of Vale do Rio Doce, Aceiro Bragata",77235211-1,11 Aug 2021,"doi:10.1600/036364421X16231782047352 The specific epithet means 'large flowers', an allusion to the size of the gynecandrous whorls of this species, the largest one compared to its congeners.",www.ipni.org/n/77235211-1,IPNI
Eremitis jardimii,Poaceae,Eremitis,jardimii,F.M.Ferreira & R.P.Oliveira,tax_nov,spec.,Kew Bull. 75(4)-52: 1. 2020 [9 Dec 2020] [epublished],Kew Bull.,2020,75(4)-52: 1,987-2,holotype HUEFS;isotype BHCB;isotype CEN;isotype CEPEC;isotype CVRD;isotype HUFU;isotype ICN;isotype ISC;isotype k;isotype MBM;isotype MO;isotype NY;isotype P;isotype R;isotype RB;isotype SP;isotype US,F.M.Ferreira &amp; G.M.Carvalho,2062,25 Nov 2008,"Bahia (Brazil Northeast, Brazil, Southern America)","Ilhéus, Comissão Executiva de Planejamento da Lavoura Cacaueira (CEPLAC), Quadra D",77213101-1,9 Dec 2020,"doi:10.1007/S12225-020-09906-3 The specific epithet is a tribute to Dr. Jomar G.Jardim, an ardent advocate for the conservation of the Atlantic Forest flora of southern Bahia.",www.ipni.org/n/77213101-1,IPNI
Eremitis limae,Poaceae,Eremitis,limae,F.M.Ferreira & R.P.Oliveira,tax_nov,spec.,Phytotaxa 454(4): 278. 2020 [4 Aug 2020] [epublished],Phytotaxa,2020,454(4): 278,20011462-1,holotype HUEFS;isotype BHCB;isotype CEN;isotype CEPEC;isotype CVRD;isotype ESA;isotype HUFU;isotype ICN;isotype ISC;isotype K;isotype MBM;isotype MO;isotype P;isotype R;isotype RB;isotype SP;isotype US,"F.M. Ferreira, A.L.C. Lima &amp; A.J. Silva",2210,11 Nov 2009,"Bahia (Brazil Northeast, Brazil, Southern America)","Itapebi, Guarani Farm, 138m",77211073-1,4 Aug 2020,"doi:10.11646/phytotaxa.454.4.5 The name honours the ornithologist Dr. Ana Luísa de Carvalho Lima, the first author’s wife, who contributed to the development of this work.",www.ipni.org/n/77211073-1,IPNI
Eremitis paucifolia,Poaceae,Eremitis,paucifolia,F.M.Ferreira & R.P.Oliveira,tax_nov,spec.,Syst. Bot. 46(2): 326. 2021 [11 Aug 2021] ,Syst. Bot.,2021,46(2): 326,1295-2,holotype HUEFS;isotype BHCB;isotype CEN;isotype CEPEC;isotype CVRD;isotype HUFU;isotype ICN;isotype ISC;isotype K;isotype MBM;isotype MO;isotype P;isotype R;isotype RB;isotype SP;isotype US,"F.M. Ferreira, A.L. Cortes, D. Couto &amp; A.F.P. Machado",2205,5 Oct 2009,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Muqui, Retiro, Sabia Farm (owner Mr. Antonio Constantino), 'cabruca' plantation area",77235223-1,11 Aug 2021,"doi:10.1600/036364421X16231782047352 The specific epithet, from Latin, means 'few leaves', a reference to the reduced number of leaves present in the leafy culms of this new species compared to other congeneric species.",www.ipni.org/n/77235223-1,IPNI
Eremitis pernambucensis,Poaceae,Eremitis,pernambucensis,F.M.Ferreira & R.P.Oliveira,tax_nov,spec.,Phytotaxa 633(2): 139. 2024 [5 Jan 2024] [epublished],Phytotaxa,2024,633(2): 139,20011462-1,holotype HUEFS;isotype BHCB;isotype CEN;isotype CEPEC;isotype CVRD;isotype ICN;isotype ISC;isotype K;isotype MBM;isotype MO;isotype P;isotype R;isotype RB;isotype SP;isotype US,F.M.Ferreira et al.,2223,23 Mar 2010,"Pernambuco (Brazil Northeast, Brazil, Southern America)","São Vicente Férrer, Mata do Estado, Complexo das Serras do Mascarenhas e Jundiá, fragmento Pimenteira, 600 m",77334278-1,5 Jan 2024,doi:10.11646/phytotaxa.633.2.4 Etymology: 'The epithet is a reference to the Brazilian state of Pernambuco'.,www.ipni.org/n/77334278-1,IPNI
Eremitis riodocensis,Poaceae,Eremitis,riodocensis,F.M.Ferreira & R.P.Oliveira,tax_nov,spec.,Brittonia 72(2): 134. 2019 [16 Dec 2019] [epublished],Brittonia,2019,72(2): 134,561-2,holotype HUEFS;isotype BHCB;isotype CEN;isotype CEPEC;isotype CVRD;isotype HUFU;isotype ICN;isotype ISC;isotype K;isotype MBM;isotype MO;isotype NY;isotype P;isotype R;isotype RB;isotype SP;isotype US,"F.M.Ferreira, M.O.D.Pivari, F.M.Costa &amp; M.L.Francisco",2100,16 Jan 2009,"Minas Gerais (Brazil Southeast, Brazil, Southern America)","Marliéria, Rio Doce State Park, trail of the Aníbal",77210828-1,16 Dec 2019,doi:10.1007/s12228-019-09603-x,www.ipni.org/n/77210828-1,IPNI
Eremitis victoriae,Poaceae,Eremitis,victoriae,F.M.Ferreira & R.P.Oliveira,tax_nov,spec.,Syst. Bot. 46(2): 329. 2021 [11 Aug 2021] ,Syst. Bot.,2021,46(2): 329,1295-2,holotype HUEFS;isotype BHCB;isotype CEN;isotype CEPEC;isotype CVRD;isotype HUFU;isotype ICN;isotype ISC;isotype K;isotype MBM;isotype MO;isotype P;isotype R;isotype RB;isotype SP;isotype US,"F.M. Ferreira, A.L. Cortes, D. Couto &amp; A.F.P. Machado",2206,10 Oct 2009,"Bahia (Brazil Northeast, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);","Espirito Santo: Cachoeiro do Itapemirim, Pedra do Itabira, Itabira Farm",77235224-1,11 Aug 2021,"doi:10.1600/036364421X16231782047352 The specific epithet honours the North American researcher Dr. Victoria C. Hollowell, from the Missouri Botanical Garden, who dedicated a good part of her career to study the subtribe Parianinae.",www.ipni.org/n/77235224-1,IPNI
Eremitis vinacea,Poaceae,Eremitis,vinacea,F.M.Ferreira & R.P.Oliveira,tax_nov,spec.,Pl. Ecol. Evol. 154(3): 477. 2021 [23 Nov 2021] [epublished],Pl. Ecol. Evol.,2021,154(3): 477,20011731-1,holotype HUEFS;isotype BHCB;isotype CEN;isotype CEPEC;isotype CVRD;isotype HUFU;isotype ICN;isotype ISC;isotype K;isotype MBM;isotype MO;isotype NY;isotype P;isotype R;isotype RB;isotype SP;isotype US,F.M.Ferreira &amp; M.L.S.Carvalho,2132,6 Jun 2009,"Bahia (Brazil Northeast, Brazil, Southern America)","Municipality of Camacã, about 19 km from Camacã to Potiraguá",77234325-1,23 Nov 2021,"doi:10.5091/plecevo.154.3 The specific epithet refers to the colour of the abaxial surface of its leaf blades, distinctly purple.",www.ipni.org/n/77234325-1,IPNI
