name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Mezia araujei,Malpighiaceae,Mezia,araujei,Schwacke,tax_nov,spec.,"Bot. Jahrb. Syst. 14(1-2, Beibl. 30): 3, pl. 1, A. 1891 [5 May 1891] ",Bot. Jahrb. Syst.,1891,"14(1-2, Beibl. 30): 3, pl. 1, A",553-2,NA,NA,NA,NA,Brazil (Southern America),NA,158637-2,NA,5 May 1891,NA,www.ipni.org/n/158637-2,IPNI,NA
Pterandra psidiifolia,Malpighiaceae,Pterandra,psidiifolia,A.Juss.,tax_nov,spec.,Fl. Bras. Merid. (A. St.-Hil.). 3: 73. 1833 [1832 publ. 1833] ,Fl. Bras. Merid. (A. St.-Hil.).,1833,3: 73,8262-2,holotype P,A.F.C.P.de Saint-Hilaire,C(1) 395,NA,"monte Serra da Canastra, Minas Gerais (Brazil, Southern America)",NA,213748-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.spage=73&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1832 publ. 1833,[Gandhi 9 Apr 1998; Contr. Univ. Mich. Herb. 21: 8. 1997],www.ipni.org/n/213748-2,IPNI,NA
Stigmaphyllon alulatum,Malpighiaceae,Stigmaphyllon,alulatum,Nied.,tax_nov,spec.,"Stigmatoph. 2 [Niedenzu, 1900] 16. 1900 ","Stigmatoph. 2 [Niedenzu, 1900]",1900,16,17588-2,holotype B,J.T.de Moura,636,NA,"Rio de Janeiro (Brazil, Southern America)",NA,245701-2,NA,NA,"[Gandhi; Anderson, Syst. Bot. Monogr. 51: 226. 1997]",www.ipni.org/n/245701-2,IPNI,NA
Stigmaphyllon digitatum,Malpighiaceae,Stigmaphyllon,digitatum,Nied.,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 33: 70. 1933 as Stigmatophyllum,Repert. Spec. Nov. Regni Veg.,1933,33: 70,788-2,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,245716-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=70&rft.volume=33&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,Anderson (Syst. Bot. Monogr. 51: 262. 1997) indicated this¹name to be superfluous,www.ipni.org/n/245716-2,IPNI,NA
Stigmaphyllon felixii,Malpighiaceae,Stigmaphyllon,felixii,Cuatrec.,tax_nov,spec.,Brittonia 14: 55. 1962 ,Brittonia,1962,14: 55,561-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,245725-2,NA,NA,NA,www.ipni.org/n/245725-2,IPNI,NA
Stigmaphyllon gaudichaudianum,Malpighiaceae,Stigmaphyllon,gaudichaudianum,A.Juss.,tax_nov,spec.,Fl. Bras. Merid. (A. St.-Hil.). 3: 50. 1833 [1832 publ. 1833] ,Fl. Bras. Merid. (A. St.-Hil.).,1833,3: 50,8262-2,lectotype P;isotype BR;isotype M;isotype P,P.L.de Sacramento,s.n.,NA,"Sebastianopolis, Rio de Janeiro (Brazil, Southern America)",NA,313527-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.spage=50&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1832 publ. 1833,NA,www.ipni.org/n/313527-2,IPNI,NA
Stigmaphyllon hagmannii,Malpighiaceae,Stigmaphyllon,hagmannii,Markgr.,tax_nov,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 15: 219. 1940 as Stigmatophyllum,Notizbl. Bot. Gart. Berlin-Dahlem,1940,15: 219,1019-2,NA,NA,NA,NA,"Pará (Brazil, Southern America)",NA,245730-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1940&rft.spage=219&rft.volume=15&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,"[Gandhi; Anderson, Syst. Bot. Monogr. 51: 173. 1997]",www.ipni.org/n/245730-2,IPNI,NA
Stigmaphyllon heringerianum,Malpighiaceae,Stigmaphyllon,heringerianum,Paula & J.L.H.Alves,tax_nov,spec.,"Rodriguésia no. 46: 165, figs. 1978 ",Rodriguésia,1978,"no. 46: 165, figs",1167-2,holotype UB,E.J.de Paula,741,NA,"Maranhao (Brazil, Southern America)",NA,245739-2,NA,NA,"[Gandhi; Anderson, Syst. Bot. Monogr. 51: 55. 1997]",www.ipni.org/n/245739-2,IPNI,NA
Stigmaphyllon hirsutum,Malpighiaceae,Stigmaphyllon,hirsutum,Nied.,tax_nov,spec.,"Stigmatoph. 2 [Niedenzu, 1900] 25. 1900 ","Stigmatoph. 2 [Niedenzu, 1900]",1900,25,17588-2,lectotype G,J.Lhotsky,s.n.,NA,"Santa Cruz, Rio de Janeiro (Brazil, Southern America)",NA,245740-2,NA,NA,NA,www.ipni.org/n/245740-2,IPNI,NA
Stigmaphyllon psilocardium,Malpighiaceae,Stigmaphyllon,psilocardium,Nied.,tax_nov,spec.,"Stigmatoph. 2 [Niedenzu, 1900] 15. 1900 ","Stigmatoph. 2 [Niedenzu, 1900]",1900,15,17588-2,holotype B,A.F.M.Glaziou,10362,NA,Brazil (Southern America),NA,245784-2,NA,NA,"[Gandhi; Anderson, Syst. Bot. Monogr. 51: 230. 1997]",www.ipni.org/n/245784-2,IPNI,NA
