name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Neurolobium cymosum,Apocynaceae,Neurolobium,cymosum,Baill.,tax_nov,spec.,Bull. Mens. Soc. Linn. Paris 1: 749. 1888 ,Bull. Mens. Soc. Linn. Paris,1888,1: 749,877-2,NA,NA,NA,NA,Brazil (Southern America),NA,169686-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1888&rft.spage=749&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/10532&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/169686-2,IPNI,NA
Odontadenia gracilis,Apocynaceae,Odontadenia,gracilis,K.Schum.,tax_nov,spec.,Bull. Soc. Bot. France 57(Mém. 3e): 455. 1910 ,Bull. Soc. Bot. France,1910,57(Mém. 3e): 455,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,172136-2,NA,NA,NA,www.ipni.org/n/172136-2,IPNI,NA
Prestonia sericocalyx,Apocynaceae,Prestonia,sericocalyx,Malme,tax_nov,spec.,"Bih. Kongl. Svenska Vetensk.-Akad. Handl. 24, Afd. 3, No. 10: 29. 1899 ",Bih. Kongl. Svenska Vetensk.-Akad. Handl.,1899,"24, Afd. 3, No. 10: 29",546-2,NA,NA,NA,NA,Brazil (Southern America),NA,210143-2,NA,NA,NA,www.ipni.org/n/210143-2,IPNI,NA
Tabernaemontana cathariensis,Apocynaceae,Tabernaemontana,cathariensis,A.DC.,tax_nov,spec.,Prodr. [A. P. de Candolle] 8: 365. 1844 [mid Mar 1844] ,Prodr. [A. P. de Candolle],1844,8: 365,1051-2,NA,NA,NA,NA,Brazil (Southern America),NA,328994-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/163321&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,mid Mar 1844,NA,www.ipni.org/n/328994-2,IPNI,NA
Tabernaemontana ovalifolia,Apocynaceae,Tabernaemontana,ovalifolia,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 57(Mém. 3e): 452. 1910 ,Bull. Soc. Bot. France,1910,57(Mém. 3e): 452,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,248889-2,NA,NA,NA,www.ipni.org/n/248889-2,IPNI,NA
Tabernaemontana rauwolfiae,Apocynaceae,Tabernaemontana,rauwolfiae,A.DC.,tax_nov,spec.,Prodr. [A. P. de Candolle] 8: 364. 1844 [mid Mar 1844] ,Prodr. [A. P. de Candolle],1844,8: 364,1051-2,NA,NA,NA,NA,Brazil (Southern America),NA,248897-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/163320&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,mid Mar 1844,NA,www.ipni.org/n/248897-2,IPNI,NA
Metastelma hookerianum,Apocynaceae,Metastelma,hookerianum,(Steud.) ined.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77177002-1,NA,NA,NA,https://powo.science.kew.org/taxon/77177002-1,POWO,NA
Oxypetalum kassneri,Apocynaceae,Oxypetalum,kassneri,H.A.Keller & Funez,NA,Species,Rodriguésia 72(e01692019): 2 (2021),NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,77295997-1,NA,NA,NA,https://powo.science.kew.org/taxon/77295997-1,POWO,NA
Oxypetalum timbense,Apocynaceae,Oxypetalum,timbense,H.A.Keller,NA,Species,Bonplandia (Corrientes) 31: 2 (2022),NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,77302084-1,NA,NA,NA,https://powo.science.kew.org/taxon/77302084-1,POWO,NA
Phaeostemma hatschbachii,Apocynaceae,Phaeostemma,hatschbachii,Morillo,NA,Species,Bonplandia (Corrientes) 22: 208 (2013),NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,77139057-1,NA,NA,NA,https://powo.science.kew.org/taxon/77139057-1,POWO,NA
Hemipogon trilobatus,Apocynaceae,Hemipogon,trilobatus,Bitencourt & Rapini,NA,Species,Eur. J. Taxon. 729: 3 (2020),NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,77213240-1,NA,NA,NA,https://powo.science.kew.org/taxon/77213240-1,POWO,NA
Chloropetalum obtusiflorum,Apocynaceae,Chloropetalum,obtusiflorum,(Decne.) Morillo,NA,Species,Pittieria 39: 220 (2015),NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,77206441-1,NA,NA,NA,https://powo.science.kew.org/taxon/77206441-1,POWO,NA
Ditassa cangae,Apocynaceae,Ditassa,cangae,Bitencourt & Rapini,NA,Species,Pl. Ecol. Evol. 153: 248 (2020),NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,77212348-1,NA,NA,NA,https://powo.science.kew.org/taxon/77212348-1,POWO,NA
Ditassa ferricola,Apocynaceae,Ditassa,ferricola,Bitencourt & Rapini,NA,Species,Pl. Ecol. Evol. 153: 252 (2020),NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,77212349-1,NA,NA,NA,https://powo.science.kew.org/taxon/77212349-1,POWO,NA
Matelea austrobrasiliensis,Apocynaceae,Matelea,austrobrasiliensis,Morillo,NA,Species,Mem. Fund. La Salle Ci. Nat. 81(190): 68 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77319024-1,NA,NA,NA,https://powo.science.kew.org/taxon/77319024-1,POWO,NA
Oxypetalum boudetii,Apocynaceae,Oxypetalum,boudetii,Fontella & Goes,NA,Species,Bradea 10: 10 (2004),NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,77079302-1,NA,NA,NA,https://powo.science.kew.org/taxon/77079302-1,POWO,NA
Phaeostemma brasiliensis,Apocynaceae,Phaeostemma,brasiliensis,Morillo,NA,Species,Bonplandia (Corrientes) 22: 206 (2013),NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,77139056-1,NA,NA,NA,https://powo.science.kew.org/taxon/77139056-1,POWO,NA
Ditassa emmerichiae,Apocynaceae,Ditassa,emmerichiae,Fontella,NA,Species,Bradea 4: 383 (1987),NA,1987,NA,NA,NA,NA,NA,NA,NA,NA,940998-1,NA,NA,NA,https://powo.science.kew.org/taxon/940998-1,POWO,NA
Gonolobus plowmanii,Apocynaceae,Gonolobus,plowmanii,Morillo,NA,Species,Pittieria 37: 116 (2013),NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,77129417-1,NA,NA,NA,https://powo.science.kew.org/taxon/77129417-1,POWO,NA
Matelea ulei,Apocynaceae,Matelea,ulei,Morillo,NA,Species,Mem. Fund. La Salle Ci. Nat. 81(190): 74 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77319029-1,NA,NA,NA,https://powo.science.kew.org/taxon/77319029-1,POWO,NA
