name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Sorocea ganevii,Moraceae,Sorocea,ganevii,R.M.Castro,tax_nov,spec.,FALSE,Neodiversity 1(2): 18 (-20; fig. 4). 2006 [25 Oct 2006] ,Neodiversity,2006,1(2): 18 (-20; fig. 4),20008383-1,FALSE,holotype HUEFS;isotype CEN,G.Pereira-Silva et al.,8405,17 Jan 2004,"Bahia (Brazil Northeast, Brazil, Southern America)","Rio de Contas, road to Jussiape, 10km from Igreja Matriz",77085277-1,TRUE,NA,25 Oct 2006,NA,NA,www.ipni.org/n/77085277-1,IPNI,NA,NA,NA,NA,
Sorocea grandis,Moraceae,Sorocea,grandis,Warb.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 644. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 644,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,240955-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/240955-2,IPNI,NA,NA,NA,NA,
Sorocea macrogyna,Moraceae,Sorocea,macrogyna,Lanj. & Wess.Boer,tax_nov,spec.,FALSE,"Acta Bot. Neerl. 11: 459, tab. 10, fig. 1, 2. 1962 ",Acta Bot. Neerl.,1962,"11: 459, tab. 10, fig. 1, 2",1640-2,FALSE,NA,NA,NA,NA,Brazil &amp; Colombia,NA,240963-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/240963-2,IPNI,NA,NA,NA,NA,
Sorocea spinosa,Moraceae,Sorocea,spinosa,Warb.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 644. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 644,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,240970-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/240970-2,IPNI,NA,NA,NA,NA,
Brosimum sprucei,Moraceae,Brosimum,sprucei,(Baill.) E.M.Gardner & Zerega,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77219642-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77219642-1,
Brosimum steyermarkii,Moraceae,Brosimum,steyermarkii,(C.C.Berg) E.M.Gardner & Zerega,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77219643-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77219643-1,
Brosimum oligandrum,Moraceae,Brosimum,oligandrum,(Benoist) E.M.Gardner & Zerega,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77219640-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77219640-1,
Ficus dendrocida,Moraceae,Ficus,dendrocida,Kunth,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:852729-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:852729-1,
Brosimum amazonicum,Moraceae,Brosimum,amazonicum,(Poepp. & Endl.) E.M.Gardner & Zerega,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77219639-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77219639-1,
Ficus paludica,Moraceae,Ficus,paludica,Standl.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:104667-2,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:104667-2,
