name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Neowedia speciosa,Acanthaceae,Neowedia,speciosa,Schrad.,tax_nov,spec.,Gött. Gel. Anz. 1821(2): 706. [5 May 1821] ,Gött. Gel. Anz.,1821,1821(2): 706,8865-2,NA,NA,NA,NA,Brazil (Southern America),NA,60468276-2,NA,5 May 1821,NA,www.ipni.org/n/60468276-2,IPNI,NA
Odontonema latifolium,Acanthaceae,Odontonema,latifolium,Rizzini,tax_nov,spec.,Arch. Jard. Bot. Rio de Janeiro 9: 59. 1950 ,Arch. Jard. Bot. Rio de Janeiro,1950,9: 59,848-2,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,172460-2,NA,NA,NA,www.ipni.org/n/172460-2,IPNI,NA
Odontonema scandens,Acanthaceae,Odontonema,scandens,Lindau,tax_nov,spec.,Notizbl. Königl. Bot. Gart. Berlin 6: 198. 1914 ,Notizbl. Königl. Bot. Gart. Berlin,1914,6: 198,3558-2,NA,NA,NA,NA,Brazil (Southern America),NA,172478-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=198&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/172478-2,IPNI,NA
Polylychnis ovata,Acanthaceae,Polylychnis,ovata,Wassh.,tax_nov,spec.,"Fl. Guianas, ser. A, Phanerogams 23(156): 103 (-105; fig. 26). 2006 ","Fl. Guianas, ser. A, Phanerogams",2006,23(156): 103 (-105; fig. 26),3319-2,holotype P;isotype U;isotype US,de Granville,B. 4522,1 Sep 1972,"Amapá (Brazil North, Brazil, Southern America);Suriname (Northern South America, Southern America);","Tumac Humac, 3 km N-NW of Mitaraka Nord, ca. 430 m elev.",77073658-1,NA,NA,NA,www.ipni.org/n/77073658-1,IPNI,NA
Ruellia bracteiflora,Acanthaceae,Ruellia,bracteiflora,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 532. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 532,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,224053-2,NA,NA,NA,www.ipni.org/n/224053-2,IPNI,NA
Ruellia brasiliensis,Acanthaceae,Ruellia,brasiliensis,Spreng.,tax_nov,spec.,"Syst. Veg., ed. 16 [Sprengel] 2: 822. 1825 [Jan-May 1825] ","Syst. Veg., ed. 16 [Sprengel]",1825,2: 822,14620-2,NA,NA,NA,NA,Brazil (Southern America),NA,224054-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1825&rft.spage=822&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/822&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Jan-May 1825,NA,www.ipni.org/n/224054-2,IPNI,NA
Ruellia conferta,Acanthaceae,Ruellia,conferta,Lindau,tax_nov,spec.,Notizbl. Königl. Bot. Gart. Berlin 6: 194. 1914 ,Notizbl. Königl. Bot. Gart. Berlin,1914,6: 194,3558-2,NA,NA,NA,NA,Brazil (Southern America),NA,224091-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=194&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/224091-2,IPNI,NA
Ruellia glanduloso-notata,Acanthaceae,Ruellia,glanduloso-notata,Lindau,tax_nov,spec.,"Bull. Herb. Boissier ser. 2, 5: 367. 1905 ",Bull. Herb. Boissier,1905,"ser. 2, 5: 367",573-2,NA,NA,NA,NA,Brazil (Southern America),NA,224131-2,NA,NA,NA,www.ipni.org/n/224131-2,IPNI,NA
Ruellia lindaviana,Acanthaceae,Ruellia,lindaviana,Taub.,tax_nov,spec.,Bot. Jahrb. Syst. 21(4): 452. 1895 [1895] ;  a preprint,Bot. Jahrb. Syst.,1895,21(4): 452,553-2,NA,NA,NA,NA,Brazil (Southern America),NA,224177-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.issue=4&rft.spage=452&rft.volume=21&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1895,NA,www.ipni.org/n/224177-2,IPNI,NA
Ruellia lofgrenii,Acanthaceae,Ruellia,lofgrenii,Lindau,tax_nov,spec.,Bull. Herb. Boissier 5: 654. 1897 ,Bull. Herb. Boissier,1897,5: 654,573-2,NA,NA,NA,NA,Brazil (Southern America),NA,224178-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1897&rft.spage=654&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/224178-2,IPNI,NA
