family,genus,species,author,accepted,kingdom,name,rank,snippet,url,fqId,images
Amaranthaceae,Chenopodiastrum,murale,"(L.) S.Fuentes, Uotila & Borsch",TRUE,Plantae,Chenopodiastrum_murale,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77121007-1,urn:lsid:ipni.org:names:77121007-1,
Amaryllidaceae,Zephyranthes,matogrossensis,(Ravenna) R.S.Oliveira & Dutilh,TRUE,Plantae,Zephyranthes_matogrossensis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77203234-1,urn:lsid:ipni.org:names:77203234-1,
Amaryllidaceae,Hippeastrum,lavrense,(Ravenna) R.S.Oliveira & Dutilh,TRUE,Plantae,Hippeastrum_lavrense,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77203200-1,urn:lsid:ipni.org:names:77203200-1,
Amaryllidaceae,Hippeastrum,minasgerais,(Traub) Meerow,TRUE,Plantae,Hippeastrum_minasgerais,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:994020-1,urn:lsid:ipni.org:names:994020-1,
Amaryllidaceae,Zephyranthes,duarteana,(Ravenna) R.S.Oliveira & Dutilh,TRUE,Plantae,Zephyranthes_duarteana,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77203219-1,urn:lsid:ipni.org:names:77203219-1,
Amaryllidaceae,Carlotea,formosissimum,Arruda,TRUE,Plantae,Carlotea_formosissimum,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:435548-1,urn:lsid:ipni.org:names:435548-1,
Amaryllidaceae,Carlotea,speciosa,Arruda,TRUE,Plantae,Carlotea_speciosa,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:435549-1,urn:lsid:ipni.org:names:435549-1,
Amaryllidaceae,Zephyranthes,contermina,(Ravenna) R.S.Oliveira & Dutilh,TRUE,Plantae,Zephyranthes_contermina,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77203215-1,urn:lsid:ipni.org:names:77203215-1,
Amaryllidaceae,Zephyranthes,araguaiensis,(Ravenna) R.S.Oliveira & Dutilh,TRUE,Plantae,Zephyranthes_araguaiensis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77203205-1,urn:lsid:ipni.org:names:77203205-1,
Amaryllidaceae,Ipheion,recurvifolium,(C.H.Wright) Traub,TRUE,Plantae,Ipheion_recurvifolium,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:129101-2,urn:lsid:ipni.org:names:129101-2,
Amaryllidaceae,Zephyranthes,datensis,(Ravenna) R.S.Oliveira & Dutilh,TRUE,Plantae,Zephyranthes_datensis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77203218-1,urn:lsid:ipni.org:names:77203218-1,
Amaryllidaceae,Zephyranthes,itaobina,(Ravenna) Nic.García,TRUE,Plantae,Zephyranthes_itaobina,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77203226-1,urn:lsid:ipni.org:names:77203226-1,
Anacardiaceae,Anacardium,curatellifolium,A.St.-Hil.,TRUE,Plantae,Anacardium_curatellifolium,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:272097-2,urn:lsid:ipni.org:names:272097-2,
Anisophylleaceae,Anisophyllea,guianensis,Sandwith,TRUE,Plantae,Anisophyllea_guianensis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:14077-2,urn:lsid:ipni.org:names:14077-2,
Annonaceae,Guatteria,flabellata,Erkens & Maas,TRUE,Plantae,Guatteria_flabellata,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77095321-1,urn:lsid:ipni.org:names:77095321-1,
Annonaceae,Annona,membranacea,R.E.Fr.,TRUE,Plantae,Annona_membranacea,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:14302-2,urn:lsid:ipni.org:names:14302-2,
Annonaceae,Annona,neochrysocarpa,H.Rainer,TRUE,Plantae,Annona_neochrysocarpa,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77080803-1,urn:lsid:ipni.org:names:77080803-1,
Annonaceae,Cymbopetalum,coriaceum,N.A.Murray,TRUE,Plantae,Cymbopetalum_coriaceum,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:975791-1,urn:lsid:ipni.org:names:975791-1,
Annonaceae,Duguetia,megalophylla,R.E.Fr.,TRUE,Plantae,Duguetia_megalophylla,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:85717-2,urn:lsid:ipni.org:names:85717-2,
Annonaceae,Hornschuchia,mediterranea,Mello-Silva & D.M.Johnson,TRUE,Plantae,Hornschuchia_mediterranea,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77215840-1,urn:lsid:ipni.org:names:77215840-1,
Annonaceae,Hornschuchia,mellosilvae,L.Vilela & J.C.Lopes,TRUE,Plantae,Hornschuchia_mellosilvae,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77221366-1,urn:lsid:ipni.org:names:77221366-1,
Annonaceae,Duguetia,dimorphopetala,R.E.Fr.,TRUE,Plantae,Duguetia_dimorphopetala,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:85694-2,urn:lsid:ipni.org:names:85694-2,
Annonaceae,Annona,neoelliptica,H.Rainer & Maas,TRUE,Plantae,Annona_neoelliptica,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77080805-1,urn:lsid:ipni.org:names:77080805-1,
Annonaceae,Xylopia,langsdorfiana,A.St.-Hil. & Tul.,TRUE,Plantae,Xylopia_langsdorfiana,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:76166-1,urn:lsid:ipni.org:names:76166-1,
Annonaceae,Desmos,chinensis,Lour.,TRUE,Plantae,Desmos_chinensis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:72771-1,urn:lsid:ipni.org:names:72771-1,
Apiaceae,Eryngium,luzulifolium,Cham. & Schltdl.,TRUE,Plantae,Eryngium_luzulifolium,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:841895-1,urn:lsid:ipni.org:names:841895-1,
