name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Grammitis spixiana,Polypodiaceae,Grammitis,spixiana,(Mett.) Christenh.,NA,Species,Global Fl. 4: 49 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77183374-1,NA,NA,NA,https://powo.science.kew.org/taxon/77183374-1,POWO,NA
Campyloneurum majus,Polypodiaceae,Campyloneurum,majus,(Hicken) Lellinger,NA,Species,Amer. Fern J. 78: 26 (1988),NA,1988,NA,NA,NA,NA,NA,NA,NA,NA,274008-2,NA,NA,NA,https://powo.science.kew.org/taxon/274008-2,POWO,NA
Grammitis caucana,Polypodiaceae,Grammitis,caucana,(Hieron.) C.V.Morton,NA,Species,Contr. U.S. Natl. Herb. 38: 96 (1967),NA,1967,NA,NA,NA,NA,NA,NA,NA,NA,113080-2,NA,NA,NA,https://powo.science.kew.org/taxon/113080-2,POWO,NA
Grammitis phlegmaria,Polypodiaceae,Grammitis,phlegmaria,(J.Sm.) Proctor,NA,Species,Rhodora 68: 467 (1966),NA,1966,NA,NA,NA,NA,NA,NA,NA,NA,113183-2,NA,NA,NA,https://powo.science.kew.org/taxon/113183-2,POWO,NA
Pecluma ptilotos,Polypodiaceae,Pecluma,ptilotos,(Kunze) M.G.Price,NA,Species,Amer. Fern J. 73: 115 (1983),NA,1983,NA,NA,NA,NA,NA,NA,NA,NA,186188-2,NA,NA,NA,https://powo.science.kew.org/taxon/186188-2,POWO,NA
Serpocaulon dasypleuron,Polypodiaceae,Serpocaulon,dasypleuron,(Kunze) A.R.Sm.,NA,Species,Taxon 55: 928 (2006),NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,77075093-1,NA,NA,NA,https://powo.science.kew.org/taxon/77075093-1,POWO,NA
Grammitis reclinata,Polypodiaceae,Grammitis,reclinata,(Brack.) Christenh.,NA,Species,Global Fl. 4: 48 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77182364-1,NA,NA,NA,https://powo.science.kew.org/taxon/77182364-1,POWO,NA
Grammitis tepuiensis,Polypodiaceae,Grammitis,tepuiensis,(A.C.Sm.) Vareschi,NA,Species,Fl. Venez. 1(2): 871 (1969),NA,1969,NA,NA,NA,NA,NA,NA,NA,NA,113233-2,NA,NA,NA,https://powo.science.kew.org/taxon/113233-2,POWO,NA
Elaphoglossum curvans,Polypodiaceae,Elaphoglossum,curvans,(Kunze) A.Rojas,NA,Species,Revista Biol. Trop. 50: 985 (2002),NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,60431194-2,NA,NA,NA,https://powo.science.kew.org/taxon/60431194-2,POWO,NA
Grammitis chrysleri,Polypodiaceae,Grammitis,chrysleri,(Copel.) Proctor,NA,Species,Brit. Fern Gaz. 9: 218 (1965),NA,1965,NA,NA,NA,NA,NA,NA,NA,NA,113084-2,NA,NA,NA,https://powo.science.kew.org/taxon/113084-2,POWO,NA
Grammitis pruinosa,Polypodiaceae,Grammitis,pruinosa,(Maxon) C.V.Morton,NA,Species,Contr. U.S. Natl. Herb. 38: 262 (1973),NA,1973,NA,NA,NA,NA,NA,NA,NA,NA,292148-2,NA,NA,NA,https://powo.science.kew.org/taxon/292148-2,POWO,NA
